Degree-level goal and intended college major,Total SAT
Agriculture,968
Architecture,1042
Arts: Visual & Performing,1047
Business,1066
Communication and journalism,1066
"Community, Family, & Personal Services",952
Computer and intormation sciences,1156
Edcation,1021
Engineering,1140
English & Foreign Languages,1108.5
Health Sciences & Technologies,1044
"Repair, Production, & Construction",921
Mathemaucs and Statistics,1247
Physics,1206
Peychology,1068
Biological and biomedical sciences,1134
Social Science & law,1136.5

